ratingId,rat_userId,movieId,rating,rat_timestamp
1,1,2,3.5,2005-04-02 23:53:47
2,1,29,3.5,2005-04-02 23:31:16
3,1,32,3.5,2005-04-02 23:33:39
4,1,47,3.5,2005-04-02 23:32:07
5,1,50,3.5,2005-04-02 23:29:40
6,1,112,3.5,2004-09-10 03:09:00
7,1,151,4,2004-09-10 03:08:54
8,1,223,4,2005-04-02 23:46:13
9,1,253,4,2005-04-02 23:35:40
10,1,260,4,2005-04-02 23:33:46
11,1,293,4,2005-04-02 23:31:43
12,1,296,4,2005-04-02 23:32:47
13,1,318,4,2005-04-02 23:33:18
14,1,337,3.5,2004-09-10 03:08:29
15,1,367,3.5,2005-04-02 23:53:00
16,1,541,4,2005-04-02 23:30:03
17,1,589,3.5,2005-04-02 23:45:57
18,1,593,3.5,2005-04-02 23:31:01
19,1,653,3,2004-09-10 03:08:11
20,1,919,3.5,2004-09-10 03:07:01
21,1,924,3.5,2004-09-10 03:06:38
22,1,1009,3.5,2005-04-02 23:53:33
23,1,1036,4,2005-04-02 23:44:40
24,1,1079,4,2004-09-10 03:07:45
25,1,1080,3.5,2005-04-02 23:42:55
26,1,1089,3.5,2005-04-02 23:31:09
27,1,1090,4,2005-04-02 23:44:13
28,1,1097,4,2005-04-02 23:48:21
29,1,1136,3.5,2005-04-02 23:30:09
30,1,1193,3.5,2005-04-02 23:31:30
31,1,1196,4.5,2005-04-02 23:32:22
32,1,1198,4.5,2005-04-02 23:30:24
33,1,1200,4,2005-04-02 23:29:20
34,1,1201,3,2005-04-02 23:30:42
35,1,1208,3.5,2005-04-02 23:33:35
36,1,1214,4,2004-09-10 03:12:57
37,1,1215,4,2004-09-10 03:14:42
38,1,1217,3.5,2005-04-02 23:33:30
39,1,1219,4,2004-09-10 03:13:14
40,1,1222,3.5,2005-04-02 23:30:37
41,1,1240,4,2005-04-02 23:43:21
42,1,1243,3,2005-04-02 23:46:07
43,1,1246,3.5,2004-09-10 03:09:19
44,1,1249,4,2005-04-02 23:43:02
45,1,1258,4,2004-09-10 03:13:14
46,1,1259,4,2005-04-02 23:44:00
47,1,1261,3.5,2004-09-10 03:15:13
48,1,1262,3.5,2005-04-02 23:32:15
49,1,1266,4,2005-04-02 23:42:51
